company_id,sector,year,operating_activity,investing_activity,financing_activity,borrowings,capital_allocation_pattern
ABB,Industrials,2012,101.0,-59.0,-42.0,0.0,Self-Funded Reinvestor
ABB,Industrials,2014,0.0,0.0,0.0,0.0,Balanced Allocator
ABB,Industrials,2015,-35.0,-1864.0,1902.0,0.0,Distress Signal
ABB,Industrials,2016,1544.0,-816.0,-722.0,0.0,Self-Funded Reinvestor
ABB,Industrials,2017,2189.0,-1730.0,-455.0,0.0,Self-Funded Reinvestor
ABB,Industrials,2018,2198.0,-3192.0,1589.0,0.0,Externally Funded Expansion
ABB,Industrials,2019,2591.0,-3050.0,38.0,0.0,Externally Funded Expansion
ABB,Industrials,2020,5437.0,-5643.0,1250.0,175.0,Externally Funded Expansion
ABB,Industrials,2021,3784.0,-4009.0,-745.0,153.0,Deleverager
ABB,Industrials,2022,4097.0,-3936.0,-235.0,152.0,Deleverager
ABB,Industrials,2023,3777.0,-4699.0,923.0,113.0,Externally Funded Expansion
ABB,Industrials,2024,6038.0,-4943.0,-543.0,60.0,Deleverager
ADANIENSOL,Energy,2014,0.0,0.0,0.0,0.0,Balanced Allocator
ADANIENSOL,Energy,2015,-35.0,-1864.0,1902.0,9701.0,Distress Signal
ADANIENSOL,Energy,2016,1544.0,-816.0,-722.0,8585.0,Deleverager
ADANIENSOL,Energy,2017,2189.0,-1730.0,-455.0,8975.0,Self-Funded Reinvestor
ADANIENSOL,Energy,2018,2198.0,-3192.0,1589.0,10428.0,Externally Funded Expansion
ADANIENSOL,Energy,2019,2591.0,-3050.0,38.0,20137.0,Externally Funded Expansion
ADANIENSOL,Energy,2020,5437.0,-5643.0,1250.0,24246.0,Externally Funded Expansion
ADANIENSOL,Energy,2021,3784.0,-4009.0,-745.0,27095.0,Self-Funded Reinvestor
ADANIENSOL,Energy,2022,4097.0,-3936.0,-235.0,29902.0,Self-Funded Reinvestor
ADANIENSOL,Energy,2023,3777.0,-4699.0,923.0,34270.0,Externally Funded Expansion
ADANIENSOL,Energy,2024,6038.0,-4943.0,-543.0,39009.0,Self-Funded Reinvestor
ADANIENT,Industrials,2013,7666.0,-14790.0,7199.0,69332.0,Externally Funded Expansion
ADANIENT,Industrials,2014,8228.0,-8007.0,-1109.0,71980.0,Self-Funded Reinvestor
ADANIENT,Industrials,2015,8532.0,-11465.0,3445.0,83571.0,Externally Funded Expansion
ADANIENT,Industrials,2016,5112.0,-1825.0,-3448.0,19169.0,Deleverager
ADANIENT,Industrials,2017,774.0,-1460.0,716.0,20846.0,Externally Funded Expansion
ADANIENT,Industrials,2018,2942.0,-7649.0,5120.0,17637.0,Externally Funded Expansion
ADANIENT,Industrials,2019,3236.0,2487.0,-6158.0,11243.0,Deleverager
ADANIENT,Industrials,2020,2454.0,-1082.0,-221.0,12419.0,Self-Funded Reinvestor
ADANIENT,Industrials,2021,4043.0,-8611.0,3109.0,16227.0,Externally Funded Expansion
ADANIENT,Industrials,2022,1385.0,-17041.0,15901.0,41604.0,Externally Funded Expansion
ADANIENT,Industrials,2023,17626.0,-15459.0,-1198.0,53200.0,Self-Funded Reinvestor
ADANIENT,Industrials,2024,10312.0,-18767.0,8879.0,80427.0,Externally Funded Expansion
ADANIGREEN,Energy,2017,28.0,-1511.0,1559.0,4347.0,Externally Funded Expansion
ADANIGREEN,Energy,2018,649.0,-4428.0,3942.0,9864.0,Externally Funded Expansion
ADANIGREEN,Energy,2019,1625.0,-2666.0,1045.0,11142.0,Externally Funded Expansion
ADANIGREEN,Energy,2020,1965.0,-3743.0,2161.0,14866.0,Externally Funded Expansion
ADANIGREEN,Energy,2021,1601.0,-9137.0,7083.0,24209.0,Externally Funded Expansion
ADANIGREEN,Energy,2022,3127.0,-18730.0,15986.0,52832.0,Externally Funded Expansion
ADANIGREEN,Energy,2023,7265.0,-3857.0,-2973.0,54223.0,Self-Funded Reinvestor
ADANIGREEN,Energy,2024,7713.0,-21060.0,13953.0,67430.0,Externally Funded Expansion
ADANIPORTS,Industrials,2013,1379.0,-5136.0,4138.0,11620.0,Externally Funded Expansion
ADANIPORTS,Industrials,2014,1132.0,-2510.0,772.0,12979.0,Externally Funded Expansion
ADANIPORTS,Industrials,2015,3057.0,-2485.0,-237.0,17776.0,Self-Funded Reinvestor
ADANIPORTS,Industrials,2016,2381.0,-4153.0,2170.0,22342.0,Externally Funded Expansion
ADANIPORTS,Industrials,2017,4063.0,-2629.0,-1325.0,22214.0,Deleverager
ADANIPORTS,Industrials,2018,5608.0,-3846.0,-1889.0,22370.0,Self-Funded Reinvestor
ADANIPORTS,Industrials,2019,6029.0,-4368.0,2313.0,27712.0,Externally Funded Expansion
ADANIPORTS,Industrials,2020,7402.0,-749.0,-4256.0,30242.0,Self-Funded Reinvestor
ADANIPORTS,Industrials,2021,7556.0,-14064.0,3514.0,35855.0,Externally Funded Expansion
ADANIPORTS,Industrials,2022,10420.0,-5493.0,-586.0,47935.0,Self-Funded Reinvestor
ADANIPORTS,Industrials,2023,11900.0,-16716.0,-2734.0,53434.0,Self-Funded Reinvestor
ADANIPORTS,Industrials,2024,15018.0,-6768.0,-7800.0,50485.0,Deleverager
ADANIPOWER,Energy,2013,3001.0,-4064.0,861.0,41795.0,Externally Funded Expansion
ADANIPOWER,Energy,2014,3238.0,-4700.0,1631.0,44150.0,Externally Funded Expansion
ADANIPOWER,Energy,2015,5824.0,-4737.0,-1144.0,44742.0,Self-Funded Reinvestor
ADANIPOWER,Energy,2016,5257.0,-2692.0,-2713.0,52729.0,Self-Funded Reinvestor
ADANIPOWER,Energy,2017,4725.0,-1212.0,-3539.0,52484.0,Deleverager
ADANIPOWER,Energy,2018,5101.0,-520.0,-4600.0,52835.0,Self-Funded Reinvestor
ADANIPOWER,Energy,2019,5610.0,-984.0,-4663.0,46980.0,Deleverager
ADANIPOWER,Energy,2020,5598.0,-2304.0,-2377.0,55199.0,Self-Funded Reinvestor
ADANIPOWER,Energy,2021,7014.0,-2188.0,-5655.0,52519.0,Deleverager
ADANIPOWER,Energy,2022,10233.0,774.0,-10338.0,49145.0,Deleverager
ADANIPOWER,Energy,2023,8431.0,1545.0,-10408.0,42350.0,Deleverager
ADANIPOWER,Energy,2024,14170.0,3481.0,-16864.0,37705.0,Deleverager
AMBUJACEM,Materials,2012,1860.0,-388.0,-509.0,60.0,Self-Funded Reinvestor
AMBUJACEM,Materials,2013,1267.0,-496.0,-672.0,48.0,Deleverager
AMBUJACEM,Materials,2014,1675.0,-456.0,-721.0,34.0,Deleverager
AMBUJACEM,Materials,2015,1557.0,-83.0,-900.0,35.0,Self-Funded Reinvestor
AMBUJACEM,Materials,2016,2810.0,-4165.0,-958.0,29.0,Deleverager
AMBUJACEM,Materials,2017,3416.0,-738.0,-1015.0,24.0,Deleverager
AMBUJACEM,Materials,2018,1703.0,-765.0,-719.0,40.0,Self-Funded Reinvestor
AMBUJACEM,Materials,2019,4739.0,-1191.0,-629.0,41.0,Self-Funded Reinvestor
AMBUJACEM,Materials,2020,4832.0,-1317.0,-3956.0,471.0,Self-Funded Reinvestor
AMBUJACEM,Materials,2021,5309.0,-2007.0,-516.0,477.0,Self-Funded Reinvestor
AMBUJACEM,Materials,2023,735.0,-14481.0,2931.0,523.0,Externally Funded Expansion
AMBUJACEM,Materials,2024,5646.0,-8941.0,5689.0,779.0,Externally Funded Expansion
APOLLOHOSP,Healthcare,2013,443.0,-733.0,373.0,1213.0,Externally Funded Expansion
APOLLOHOSP,Healthcare,2014,373.0,-356.0,-63.0,1344.0,Self-Funded Reinvestor
APOLLOHOSP,Healthcare,2015,470.0,-759.0,392.0,1992.0,Externally Funded Expansion
APOLLOHOSP,Healthcare,2016,597.0,-888.0,330.0,2834.0,Externally Funded Expansion
APOLLOHOSP,Healthcare,2017,623.0,-1152.0,477.0,3125.0,Externally Funded Expansion
APOLLOHOSP,Healthcare,2018,537.0,-405.0,-108.0,3427.0,Self-Funded Reinvestor
APOLLOHOSP,Healthcare,2019,905.0,-711.0,-215.0,3673.0,Self-Funded Reinvestor
APOLLOHOSP,Healthcare,2020,1293.0,-289.0,-910.0,3596.0,Deleverager
APOLLOHOSP,Healthcare,2021,1265.0,-880.0,-340.0,4160.0,Self-Funded Reinvestor
APOLLOHOSP,Healthcare,2022,1696.0,-747.0,-792.0,4068.0,Deleverager
APOLLOHOSP,Healthcare,2023,1377.0,-857.0,-633.0,4332.0,Self-Funded Reinvestor
APOLLOHOSP,Healthcare,2024,1920.0,-1537.0,-311.0,7371.0,Self-Funded Reinvestor
ASIANPAINT,Materials,2013,1187.0,-463.0,-601.0,251.0,Self-Funded Reinvestor
ASIANPAINT,Materials,2014,1402.0,-586.0,-626.0,249.0,Deleverager
ASIANPAINT,Materials,2015,1188.0,-465.0,-576.0,418.0,Self-Funded Reinvestor
ASIANPAINT,Materials,2016,2243.0,-866.0,-849.0,323.0,Deleverager
ASIANPAINT,Materials,2017,1527.0,-681.0,-756.0,560.0,Self-Funded Reinvestor
ASIANPAINT,Materials,2018,2113.0,-1556.0,-1379.0,533.0,Deleverager
ASIANPAINT,Materials,2019,2470.0,-918.0,-1117.0,1320.0,Self-Funded Reinvestor
ASIANPAINT,Materials,2020,3038.0,-518.0,-2871.0,1118.0,Deleverager
ASIANPAINT,Materials,2021,3683.0,-541.0,-650.0,1093.0,Deleverager
ASIANPAINT,Materials,2022,986.0,-317.0,-1808.0,1587.0,Self-Funded Reinvestor
ASIANPAINT,Materials,2023,4193.0,-1282.0,-2140.0,1933.0,Self-Funded Reinvestor
ASIANPAINT,Materials,2024,6104.0,-2548.0,-2982.0,2516.0,Self-Funded Reinvestor
AXISBANK,Financials,2013,2573.0,-10939.0,14931.0,296254.0,Externally Funded Expansion
AXISBANK,Financials,2014,14464.0,-14166.0,7785.0,333280.0,Externally Funded Expansion
AXISBANK,Financials,2015,-15162.0,-7972.0,31045.0,406638.0,Distress Signal
AXISBANK,Financials,2016,-34495.0,9211.0,22495.0,472150.0,Distress Signal
AXISBANK,Financials,2017,32209.0,-12458.0,-2487.0,527437.0,Self-Funded Reinvestor
AXISBANK,Financials,2018,-38390.0,-10007.0,41342.0,611425.0,Distress Signal
AXISBANK,Financials,2019,37125.0,-18674.0,5643.0,711996.0,Externally Funded Expansion
AXISBANK,Financials,2020,30416.0,-9485.0,8865.0,797337.0,Externally Funded Expansion
AXISBANK,Financials,2021,12633.0,-54288.0,7279.0,850551.0,Externally Funded Expansion
AXISBANK,Financials,2022,28137.0,-27112.0,47894.0,1020943.0,Externally Funded Expansion
AXISBANK,Financials,2023,22075.0,-32351.0,6641.0,1152038.0,Externally Funded Expansion
AXISBANK,Financials,2024,-5555.0,-9001.0,22341.0,1295302.0,Distress Signal
BAJAJ-AUTO,Consumer Discretionary,2013,2218.0,-1394.0,-1445.0,116.0,Self-Funded Reinvestor
BAJAJ-AUTO,Consumer Discretionary,2014,3502.0,-2072.0,-1496.0,59.0,Deleverager
BAJAJ-AUTO,Consumer Discretionary,2015,2114.0,-380.0,-1644.0,112.0,Self-Funded Reinvestor
BAJAJ-AUTO,Consumer Discretionary,2016,3690.0,-68.0,-3384.0,118.0,Self-Funded Reinvestor
BAJAJ-AUTO,Consumer Discretionary,2017,3267.0,-3610.0,-190.0,120.0,Self-Funded Reinvestor
BAJAJ-AUTO,Consumer Discretionary,2018,4328.0,-1954.0,-1885.0,121.0,Self-Funded Reinvestor
BAJAJ-AUTO,Consumer Discretionary,2019,2487.0,-273.0,-2074.0,125.0,Self-Funded Reinvestor
BAJAJ-AUTO,Consumer Discretionary,2020,3850.0,1766.0,-6247.0,126.0,Cash Distributor
BAJAJ-AUTO,Consumer Discretionary,2021,3120.0,-2869.0,-20.0,121.0,Deleverager
BAJAJ-AUTO,Consumer Discretionary,2022,4197.0,276.0,-4056.0,123.0,Cash Distributor
BAJAJ-AUTO,Consumer Discretionary,2023,5277.0,1211.0,-7181.0,124.0,Cash Distributor
BAJAJ-AUTO,Consumer Discretionary,2024,6558.0,-72.0,-6167.0,5245.0,Self-Funded Reinvestor
BAJAJFINSV,Financials,2013,-6922.0,2953.0,4592.0,12991.0,Distress Signal
BAJAJFINSV,Financials,2014,-9807.0,3764.0,6521.0,19507.0,Distress Signal
BAJAJFINSV,Financials,2015,-10731.0,3709.0,6839.0,26312.0,Distress Signal
BAJAJFINSV,Financials,2016,-9795.0,-886.0,11602.0,36062.0,Distress Signal
