company_id,cluster_id,cluster_name,distance_from_centroid
HAL,0,Exceptional Return Outliers,1.0886304701577594
BEL,0,Exceptional Return Outliers,1.0886304701577694
ADANIPORTS,1,High-Quality Compounders,0.2388450974041533
BRITANNIA,1,High-Quality Compounders,0.24870551233951682
BHEL,1,High-Quality Compounders,0.25488286677632016
JINDALSTEL,1,High-Quality Compounders,0.2569442832060101
ULTRACEMCO,1,High-Quality Compounders,0.2745670017096784
GODREJCP,1,High-Quality Compounders,0.28302075129920723
JSWSTEEL,1,High-Quality Compounders,0.2835060873754623
INFY,1,High-Quality Compounders,0.29100026825398906
TATASTEEL,1,High-Quality Compounders,0.29179294830321395
ASIANPAINT,1,High-Quality Compounders,0.2921348599296973
TCS,1,High-Quality Compounders,0.29277443966739386
LT,1,High-Quality Compounders,0.29787628416896905
TRENT,1,High-Quality Compounders,0.2981710813748016
BAJAJ-AUTO,1,High-Quality Compounders,0.3012177882196593
SHREECEM,1,High-Quality Compounders,0.30507287607464145
HAVELLS,1,High-Quality Compounders,0.30518298850768477
ABB,1,High-Quality Compounders,0.30606633698460745
BAJAJHLDNG,1,High-Quality Compounders,0.31099772814716586
NAUKRI,1,High-Quality Compounders,0.3132593704945598
AMBUJACEM,1,High-Quality Compounders,0.31858321729864253
NESTLEIND,1,High-Quality Compounders,0.322877894549933
DABUR,1,High-Quality Compounders,0.3293404335420745
POWERGRID,1,High-Quality Compounders,0.32939812506540955
IRCTC,1,High-Quality Compounders,0.34343663334879027
TATAMOTORS,1,High-Quality Compounders,0.34422740560487175
TECHM,1,High-Quality Compounders,0.34536816048011987
DMART,1,High-Quality Compounders,0.35234644905231316
TORNTPHARM,1,High-Quality Compounders,0.3576432545159329
LTIM,1,High-Quality Compounders,0.36399997280447594
MARUTI,1,High-Quality Compounders,0.3651865235216532
GRASIM,1,High-Quality Compounders,0.36719524749209403
DIVISLAB,1,High-Quality Compounders,0.37970927055678083
RELIANCE,1,High-Quality Compounders,0.3899409292722889
ADANIENT,1,High-Quality Compounders,0.40128591879204145
M&M,1,High-Quality Compounders,0.42745215235754913
TITAN,1,High-Quality Compounders,0.4304404450308268
SIEMENS,1,High-Quality Compounders,0.4406905636017632
HEROMOTOCO,1,High-Quality Compounders,0.45685540679055786
PIDILITIND,1,High-Quality Compounders,0.4602602577774833
ITC,1,High-Quality Compounders,0.48752881431720063
BPCL,1,High-Quality Compounders,0.4980677612758468
IOC,1,High-Quality Compounders,0.4983556298756611
ONGC,1,High-Quality Compounders,0.5027250966511567
NTPC,1,High-Quality Compounders,0.5640650932559265
JSWENERGY,1,High-Quality Compounders,0.5702989988641594
SUNPHARMA,1,High-Quality Compounders,0.589552849342851
TATAPOWER,1,High-Quality Compounders,0.6356845521501436
BHARTIARTL,1,High-Quality Compounders,0.6741335467291741
APOLLOHOSP,1,High-Quality Compounders,0.6847784159749666
HDFCLIFE,1,High-Quality Compounders,0.6988032879046607
SBILIFE,1,High-Quality Compounders,0.7224263764365437
BOSCHLTD,1,High-Quality Compounders,0.7559333333543983
ICICIPRULI,1,High-Quality Compounders,0.8092395418069598
CIPLA,1,High-Quality Compounders,0.8796130320556388
ADANIENSOL,1,High-Quality Compounders,0.8934829586028395
MOTHERSON,1,High-Quality Compounders,0.9068190768935549
DRREDDY,1,High-Quality Compounders,0.9602888597779091
EICHERMOT,1,High-Quality Compounders,1.0407835168184696
LODHA,1,High-Quality Compounders,1.066949435170108
TVSMOTOR,1,High-Quality Compounders,1.074015737221186
DLF,1,High-Quality Compounders,1.079162850123566
ADANIPOWER,1,High-Quality Compounders,1.1187524080418538
PNB,1,High-Quality Compounders,1.2022801214652235
SHRIRAMFIN,1,High-Quality Compounders,1.2874623419777635
LICI,1,High-Quality Compounders,1.364824754694721
TATACONSUM,1,High-Quality Compounders,1.3780800196638634
HINDUNILVR,1,High-Quality Compounders,1.5512904560021827
ICICIGI,1,High-Quality Compounders,1.6691001184416514
HCLTECH,1,High-Quality Compounders,2.204016879446019
INDIGO,1,High-Quality Compounders,2.368942998575134
BAJFINANCE,1,High-Quality Compounders,2.4935122807327437
HINDALCO,1,High-Quality Compounders,2.6507172070329688
COALINDIA,1,High-Quality Compounders,5.551295658427384
IRFC,2,Leveraged Cyclicals,0.5091308579828964
PFC,2,Leveraged Cyclicals,0.5120477671159149
RECLTD,2,Leveraged Cyclicals,0.7502060615304392
INDUSINDBK,2,Leveraged Cyclicals,0.9366192847039998
CHOLAFIN,2,Leveraged Cyclicals,1.1111336573711887
BAJAJFINSV,2,Leveraged Cyclicals,1.1983626337617619
ADANIGREEN,2,Leveraged Cyclicals,1.2167095903839595
ICICIBANK,2,Leveraged Cyclicals,1.345954889465187
BANKBARODA,2,Leveraged Cyclicals,1.6364753891392645
UNIONBANK,2,Leveraged Cyclicals,1.6936163534258772
KOTAKBANK,2,Leveraged Cyclicals,1.795017828198507
AXISBANK,2,Leveraged Cyclicals,1.9183860652187528
CANBK,2,Leveraged Cyclicals,2.249723249606161
HDFCBANK,2,Leveraged Cyclicals,4.904288578935918
JIOFIN,3,Emerging Growth Outliers,0.0
NHPC,4,Cash Flow Growth Leaders,0.5352426995181362
GAIL,4,Cash Flow Growth Leaders,0.5352426995181395
