,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,earnings_per_share,dividend_payout_ratio_pct,cash_from_operations_cr
net_profit_margin_pct,1.0,-0.01575390327843008,0.0032012069476684848,-0.027558997502354125,0.7862579588324085,-0.011505228337705457,-0.025370491079120018,0.41578632588405545,-0.019320855146961594,-0.05727631074365258
operating_profit_margin_pct,-0.01575390327843008,1.0,0.01513302131973387,-0.17526325452956418,0.1348870888176233,0.05984536054557193,-0.1653444875210295,0.02961298764615552,0.0390208473062536,-0.15036848738149564
return_on_equity_pct,0.0032012069476684848,0.01513302131973387,1.0,-0.06991166225731898,0.07522038715038189,0.95513927510199,0.002403079224837189,-0.01646438355246669,0.02060621088679839,-0.012594998250685649
debt_to_equity,-0.027558997502354125,-0.17526325452956418,-0.06991166225731898,1.0,-0.06611670656411821,-0.09488666585978055,-0.29577119763942544,-0.15216864861732338,-0.23896086531203004,-0.16771396738073124
interest_coverage,0.7862579588324085,0.1348870888176233,0.07522038715038189,-0.06611670656411821,1.0,0.06214336153479809,-0.20162228919728692,0.4241249469152289,-0.032352757003549226,-0.17010292426453866
asset_turnover,-0.011505228337705457,0.05984536054557193,0.95513927510199,-0.09488666585978055,0.06214336153479809,1.0,0.02242664895864007,0.00046682848003956216,0.001086550188882846,0.0010550780067074775
free_cash_flow_cr,-0.025370491079120018,-0.1653444875210295,0.002403079224837189,-0.29577119763942544,-0.20162228919728692,0.02242664895864007,1.0,-0.020952146762622723,0.18166447590979423,0.8019923875104173
earnings_per_share,0.41578632588405545,0.02961298764615552,-0.01646438355246669,-0.15216864861732338,0.4241249469152289,0.00046682848003956216,-0.020952146762622723,1.0,0.059075217034750965,-0.06296219351896525
dividend_payout_ratio_pct,-0.019320855146961594,0.0390208473062536,0.02060621088679839,-0.23896086531203004,-0.032352757003549226,0.001086550188882846,0.18166447590979423,0.059075217034750965,1.0,0.03838017655397264
cash_from_operations_cr,-0.05727631074365258,-0.15036848738149564,-0.012594998250685649,-0.16771396738073124,-0.17010292426453866,0.0010550780067074775,0.8019923875104173,-0.06296219351896525,0.03838017655397264,1.0
