company_id,broad_sector,metric,metric_value,z_score,absolute_z_score
BAJAJHLDNG,Financials,net_profit_margin_pct,432.73,4.3899,4.3899
PNB,Financials,asset_turnover,1.507,4.2336,4.2336
BAJAJHLDNG,Financials,earnings_per_share,653.0,4.1605,4.1605
HDFCBANK,Financials,operating_profit_margin_pct,-44685.0,-3.5268,3.5268
BAJAJHLDNG,Financials,interest_coverage,3764.5,3.497,3.497
INDIGO,Consumer Discretionary,asset_turnover,56.3863,3.4726,3.4726
INDIGO,Consumer Discretionary,return_on_equity_pct,892.57,3.4719,3.4719
INDIGO,Consumer Discretionary,operating_profit_margin_pct,16331.0,3.3023,3.3023
ICICIBANK,Financials,cash_from_operations_cr,157284.0,3.2695,3.2695
PNB,Financials,return_on_equity_pct,61.31999999999999,3.2493,3.2493
TATAMOTORS,Consumer Discretionary,free_cash_flow_cr,45133.0,3.2289,3.2289
TATAMOTORS,Consumer Discretionary,cash_from_operations_cr,67915.0,3.2144,3.2144
ADANIGREEN,Energy,debt_to_equity,6.5953,3.0229,3.0229
