company_id,sector,previous_year,current_year,previous_pattern,current_pattern,change_description
ABB,Industrials,2012.0,2014,Self-Funded Reinvestor,Balanced Allocator,ABB changed from Self-Funded Reinvestor to Balanced Allocator
ABB,Industrials,2014.0,2015,Balanced Allocator,Distress Signal,ABB changed from Balanced Allocator to Distress Signal
ABB,Industrials,2015.0,2016,Distress Signal,Self-Funded Reinvestor,ABB changed from Distress Signal to Self-Funded Reinvestor
ABB,Industrials,2017.0,2018,Self-Funded Reinvestor,Externally Funded Expansion,ABB changed from Self-Funded Reinvestor to Externally Funded Expansion
ABB,Industrials,2020.0,2021,Externally Funded Expansion,Deleverager,ABB changed from Externally Funded Expansion to Deleverager
ABB,Industrials,2022.0,2023,Deleverager,Externally Funded Expansion,ABB changed from Deleverager to Externally Funded Expansion
ABB,Industrials,2023.0,2024,Externally Funded Expansion,Deleverager,ABB changed from Externally Funded Expansion to Deleverager
ADANIENSOL,Energy,2014.0,2015,Balanced Allocator,Distress Signal,ADANIENSOL changed from Balanced Allocator to Distress Signal
ADANIENSOL,Energy,2015.0,2016,Distress Signal,Deleverager,ADANIENSOL changed from Distress Signal to Deleverager
ADANIENSOL,Energy,2016.0,2017,Deleverager,Self-Funded Reinvestor,ADANIENSOL changed from Deleverager to Self-Funded Reinvestor
ADANIENSOL,Energy,2017.0,2018,Self-Funded Reinvestor,Externally Funded Expansion,ADANIENSOL changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIENSOL,Energy,2020.0,2021,Externally Funded Expansion,Self-Funded Reinvestor,ADANIENSOL changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIENSOL,Energy,2022.0,2023,Self-Funded Reinvestor,Externally Funded Expansion,ADANIENSOL changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIENSOL,Energy,2023.0,2024,Externally Funded Expansion,Self-Funded Reinvestor,ADANIENSOL changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIENT,Industrials,2013.0,2014,Externally Funded Expansion,Self-Funded Reinvestor,ADANIENT changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIENT,Industrials,2014.0,2015,Self-Funded Reinvestor,Externally Funded Expansion,ADANIENT changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIENT,Industrials,2015.0,2016,Externally Funded Expansion,Deleverager,ADANIENT changed from Externally Funded Expansion to Deleverager
ADANIENT,Industrials,2016.0,2017,Deleverager,Externally Funded Expansion,ADANIENT changed from Deleverager to Externally Funded Expansion
ADANIENT,Industrials,2018.0,2019,Externally Funded Expansion,Deleverager,ADANIENT changed from Externally Funded Expansion to Deleverager
ADANIENT,Industrials,2019.0,2020,Deleverager,Self-Funded Reinvestor,ADANIENT changed from Deleverager to Self-Funded Reinvestor
ADANIENT,Industrials,2020.0,2021,Self-Funded Reinvestor,Externally Funded Expansion,ADANIENT changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIENT,Industrials,2022.0,2023,Externally Funded Expansion,Self-Funded Reinvestor,ADANIENT changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIENT,Industrials,2023.0,2024,Self-Funded Reinvestor,Externally Funded Expansion,ADANIENT changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIGREEN,Energy,2022.0,2023,Externally Funded Expansion,Self-Funded Reinvestor,ADANIGREEN changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIGREEN,Energy,2023.0,2024,Self-Funded Reinvestor,Externally Funded Expansion,ADANIGREEN changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIPORTS,Industrials,2014.0,2015,Externally Funded Expansion,Self-Funded Reinvestor,ADANIPORTS changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIPORTS,Industrials,2015.0,2016,Self-Funded Reinvestor,Externally Funded Expansion,ADANIPORTS changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIPORTS,Industrials,2016.0,2017,Externally Funded Expansion,Deleverager,ADANIPORTS changed from Externally Funded Expansion to Deleverager
ADANIPORTS,Industrials,2017.0,2018,Deleverager,Self-Funded Reinvestor,ADANIPORTS changed from Deleverager to Self-Funded Reinvestor
ADANIPORTS,Industrials,2018.0,2019,Self-Funded Reinvestor,Externally Funded Expansion,ADANIPORTS changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIPORTS,Industrials,2019.0,2020,Externally Funded Expansion,Self-Funded Reinvestor,ADANIPORTS changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIPORTS,Industrials,2020.0,2021,Self-Funded Reinvestor,Externally Funded Expansion,ADANIPORTS changed from Self-Funded Reinvestor to Externally Funded Expansion
ADANIPORTS,Industrials,2021.0,2022,Externally Funded Expansion,Self-Funded Reinvestor,ADANIPORTS changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIPORTS,Industrials,2023.0,2024,Self-Funded Reinvestor,Deleverager,ADANIPORTS changed from Self-Funded Reinvestor to Deleverager
ADANIPOWER,Energy,2014.0,2015,Externally Funded Expansion,Self-Funded Reinvestor,ADANIPOWER changed from Externally Funded Expansion to Self-Funded Reinvestor
ADANIPOWER,Energy,2016.0,2017,Self-Funded Reinvestor,Deleverager,ADANIPOWER changed from Self-Funded Reinvestor to Deleverager
ADANIPOWER,Energy,2017.0,2018,Deleverager,Self-Funded Reinvestor,ADANIPOWER changed from Deleverager to Self-Funded Reinvestor
ADANIPOWER,Energy,2018.0,2019,Self-Funded Reinvestor,Deleverager,ADANIPOWER changed from Self-Funded Reinvestor to Deleverager
ADANIPOWER,Energy,2019.0,2020,Deleverager,Self-Funded Reinvestor,ADANIPOWER changed from Deleverager to Self-Funded Reinvestor
ADANIPOWER,Energy,2020.0,2021,Self-Funded Reinvestor,Deleverager,ADANIPOWER changed from Self-Funded Reinvestor to Deleverager
AMBUJACEM,Materials,2012.0,2013,Self-Funded Reinvestor,Deleverager,AMBUJACEM changed from Self-Funded Reinvestor to Deleverager
AMBUJACEM,Materials,2014.0,2015,Deleverager,Self-Funded Reinvestor,AMBUJACEM changed from Deleverager to Self-Funded Reinvestor
AMBUJACEM,Materials,2015.0,2016,Self-Funded Reinvestor,Deleverager,AMBUJACEM changed from Self-Funded Reinvestor to Deleverager
AMBUJACEM,Materials,2017.0,2018,Deleverager,Self-Funded Reinvestor,AMBUJACEM changed from Deleverager to Self-Funded Reinvestor
AMBUJACEM,Materials,2021.0,2023,Self-Funded Reinvestor,Externally Funded Expansion,AMBUJACEM changed from Self-Funded Reinvestor to Externally Funded Expansion
APOLLOHOSP,Healthcare,2013.0,2014,Externally Funded Expansion,Self-Funded Reinvestor,APOLLOHOSP changed from Externally Funded Expansion to Self-Funded Reinvestor
APOLLOHOSP,Healthcare,2014.0,2015,Self-Funded Reinvestor,Externally Funded Expansion,APOLLOHOSP changed from Self-Funded Reinvestor to Externally Funded Expansion
APOLLOHOSP,Healthcare,2017.0,2018,Externally Funded Expansion,Self-Funded Reinvestor,APOLLOHOSP changed from Externally Funded Expansion to Self-Funded Reinvestor
APOLLOHOSP,Healthcare,2019.0,2020,Self-Funded Reinvestor,Deleverager,APOLLOHOSP changed from Self-Funded Reinvestor to Deleverager
APOLLOHOSP,Healthcare,2020.0,2021,Deleverager,Self-Funded Reinvestor,APOLLOHOSP changed from Deleverager to Self-Funded Reinvestor
APOLLOHOSP,Healthcare,2021.0,2022,Self-Funded Reinvestor,Deleverager,APOLLOHOSP changed from Self-Funded Reinvestor to Deleverager
APOLLOHOSP,Healthcare,2022.0,2023,Deleverager,Self-Funded Reinvestor,APOLLOHOSP changed from Deleverager to Self-Funded Reinvestor
ASIANPAINT,Materials,2013.0,2014,Self-Funded Reinvestor,Deleverager,ASIANPAINT changed from Self-Funded Reinvestor to Deleverager
ASIANPAINT,Materials,2014.0,2015,Deleverager,Self-Funded Reinvestor,ASIANPAINT changed from Deleverager to Self-Funded Reinvestor
ASIANPAINT,Materials,2015.0,2016,Self-Funded Reinvestor,Deleverager,ASIANPAINT changed from Self-Funded Reinvestor to Deleverager
ASIANPAINT,Materials,2016.0,2017,Deleverager,Self-Funded Reinvestor,ASIANPAINT changed from Deleverager to Self-Funded Reinvestor
ASIANPAINT,Materials,2017.0,2018,Self-Funded Reinvestor,Deleverager,ASIANPAINT changed from Self-Funded Reinvestor to Deleverager
ASIANPAINT,Materials,2018.0,2019,Deleverager,Self-Funded Reinvestor,ASIANPAINT changed from Deleverager to Self-Funded Reinvestor
ASIANPAINT,Materials,2019.0,2020,Self-Funded Reinvestor,Deleverager,ASIANPAINT changed from Self-Funded Reinvestor to Deleverager
ASIANPAINT,Materials,2021.0,2022,Deleverager,Self-Funded Reinvestor,ASIANPAINT changed from Deleverager to Self-Funded Reinvestor
AXISBANK,Financials,2014.0,2015,Externally Funded Expansion,Distress Signal,AXISBANK changed from Externally Funded Expansion to Distress Signal
AXISBANK,Financials,2016.0,2017,Distress Signal,Self-Funded Reinvestor,AXISBANK changed from Distress Signal to Self-Funded Reinvestor
AXISBANK,Financials,2017.0,2018,Self-Funded Reinvestor,Distress Signal,AXISBANK changed from Self-Funded Reinvestor to Distress Signal
AXISBANK,Financials,2018.0,2019,Distress Signal,Externally Funded Expansion,AXISBANK changed from Distress Signal to Externally Funded Expansion
AXISBANK,Financials,2023.0,2024,Externally Funded Expansion,Distress Signal,AXISBANK changed from Externally Funded Expansion to Distress Signal
BAJAJ-AUTO,Consumer Discretionary,2013.0,2014,Self-Funded Reinvestor,Deleverager,BAJAJ-AUTO changed from Self-Funded Reinvestor to Deleverager
BAJAJ-AUTO,Consumer Discretionary,2014.0,2015,Deleverager,Self-Funded Reinvestor,BAJAJ-AUTO changed from Deleverager to Self-Funded Reinvestor
BAJAJ-AUTO,Consumer Discretionary,2019.0,2020,Self-Funded Reinvestor,Cash Distributor,BAJAJ-AUTO changed from Self-Funded Reinvestor to Cash Distributor
BAJAJ-AUTO,Consumer Discretionary,2020.0,2021,Cash Distributor,Deleverager,BAJAJ-AUTO changed from Cash Distributor to Deleverager
BAJAJ-AUTO,Consumer Discretionary,2021.0,2022,Deleverager,Cash Distributor,BAJAJ-AUTO changed from Deleverager to Cash Distributor
BAJAJ-AUTO,Consumer Discretionary,2023.0,2024,Cash Distributor,Self-Funded Reinvestor,BAJAJ-AUTO changed from Cash Distributor to Self-Funded Reinvestor
BAJAJFINSV,Financials,2020.0,2021,Distress Signal,Externally Funded Expansion,BAJAJFINSV changed from Distress Signal to Externally Funded Expansion
BAJAJFINSV,Financials,2021.0,2022,Externally Funded Expansion,Distress Signal,BAJAJFINSV changed from Externally Funded Expansion to Distress Signal
BAJAJHLDNG,Financials,2015.0,2016,Self-Funded Reinvestor,Cash Distributor,BAJAJHLDNG changed from Self-Funded Reinvestor to Cash Distributor
BAJAJHLDNG,Financials,2016.0,2017,Cash Distributor,Cash Burn,BAJAJHLDNG changed from Cash Distributor to Cash Burn
BAJAJHLDNG,Financials,2017.0,2018,Cash Burn,Self-Funded Reinvestor,BAJAJHLDNG changed from Cash Burn to Self-Funded Reinvestor
BAJAJHLDNG,Financials,2020.0,2021,Self-Funded Reinvestor,Deleverager,BAJAJHLDNG changed from Self-Funded Reinvestor to Deleverager
BANKBARODA,Financials,2013.0,2014,Self-Funded Reinvestor,Externally Funded Expansion,BANKBARODA changed from Self-Funded Reinvestor to Externally Funded Expansion
BANKBARODA,Financials,2014.0,2015,Externally Funded Expansion,Self-Funded Reinvestor,BANKBARODA changed from Externally Funded Expansion to Self-Funded Reinvestor
BANKBARODA,Financials,2015.0,2016,Self-Funded Reinvestor,Cash Burn,BANKBARODA changed from Self-Funded Reinvestor to Cash Burn
BANKBARODA,Financials,2016.0,2017,Cash Burn,Self-Funded Reinvestor,BANKBARODA changed from Cash Burn to Self-Funded Reinvestor
BANKBARODA,Financials,2017.0,2018,Self-Funded Reinvestor,Distress Signal,BANKBARODA changed from Self-Funded Reinvestor to Distress Signal
BANKBARODA,Financials,2019.0,2020,Distress Signal,Externally Funded Expansion,BANKBARODA changed from Distress Signal to Externally Funded Expansion
BANKBARODA,Financials,2020.0,2021,Externally Funded Expansion,Cash Burn,BANKBARODA changed from Externally Funded Expansion to Cash Burn
BANKBARODA,Financials,2021.0,2022,Cash Burn,Self-Funded Reinvestor,BANKBARODA changed from Cash Burn to Self-Funded Reinvestor
BANKBARODA,Financials,2022.0,2023,Self-Funded Reinvestor,Cash Burn,BANKBARODA changed from Self-Funded Reinvestor to Cash Burn
BANKBARODA,Financials,2023.0,2024,Cash Burn,Distress Signal,BANKBARODA changed from Cash Burn to Distress Signal
BEL,Industrials,2014.0,2015,Cash Burn,Self-Funded Reinvestor,BEL changed from Cash Burn to Self-Funded Reinvestor
BEL,Industrials,2015.0,2016,Self-Funded Reinvestor,Deleverager,BEL changed from Self-Funded Reinvestor to Deleverager
BEL,Industrials,2016.0,2017,Deleverager,Cash Burn,BEL changed from Deleverager to Cash Burn
BEL,Industrials,2018.0,2019,Cash Burn,Deleverager,BEL changed from Cash Burn to Deleverager
BEL,Industrials,2020.0,2021,Deleverager,Self-Funded Reinvestor,BEL changed from Deleverager to Self-Funded Reinvestor
BEL,Industrials,2022.0,2023,Self-Funded Reinvestor,Deleverager,BEL changed from Self-Funded Reinvestor to Deleverager
BEL,Industrials,2023.0,2024,Deleverager,Self-Funded Reinvestor,BEL changed from Deleverager to Self-Funded Reinvestor
BHARTIARTL,Communication Services,2013.0,2014,Self-Funded Reinvestor,Externally Funded Expansion,BHARTIARTL changed from Self-Funded Reinvestor to Externally Funded Expansion
BHARTIARTL,Communication Services,2014.0,2015,Externally Funded Expansion,Self-Funded Reinvestor,BHARTIARTL changed from Externally Funded Expansion to Self-Funded Reinvestor
BHARTIARTL,Communication Services,2017.0,2018,Self-Funded Reinvestor,Externally Funded Expansion,BHARTIARTL changed from Self-Funded Reinvestor to Externally Funded Expansion
BHARTIARTL,Communication Services,2020.0,2021,Externally Funded Expansion,Self-Funded Reinvestor,BHARTIARTL changed from Externally Funded Expansion to Self-Funded Reinvestor
BHARTIARTL,Communication Services,2023.0,2024,Self-Funded Reinvestor,Deleverager,BHARTIARTL changed from Self-Funded Reinvestor to Deleverager
BHEL,Industrials,2014.0,2015,Externally Funded Expansion,Deleverager,BHEL changed from Externally Funded Expansion to Deleverager
BHEL,Industrials,2018.0,2019,Deleverager,Cash Burn,BHEL changed from Deleverager to Cash Burn
BHEL,Industrials,2019.0,2020,Cash Burn,Distress Signal,BHEL changed from Cash Burn to Distress Signal
BHEL,Industrials,2020.0,2021,Distress Signal,Deleverager,BHEL changed from Distress Signal to Deleverager
BHEL,Industrials,2022.0,2023,Deleverager,Distress Signal,BHEL changed from Deleverager to Distress Signal
BOSCHLTD,Consumer Discretionary,2012.0,2013,Self-Funded Reinvestor,Deleverager,BOSCHLTD changed from Self-Funded Reinvestor to Deleverager
BOSCHLTD,Consumer Discretionary,2017.0,2018,Deleverager,Self-Funded Reinvestor,BOSCHLTD changed from Deleverager to Self-Funded Reinvestor
BOSCHLTD,Consumer Discretionary,2018.0,2019,Self-Funded Reinvestor,Cash Distributor,BOSCHLTD changed from Self-Funded Reinvestor to Cash Distributor
BOSCHLTD,Consumer Discretionary,2019.0,2020,Cash Distributor,Self-Funded Reinvestor,BOSCHLTD changed from Cash Distributor to Self-Funded Reinvestor
BOSCHLTD,Consumer Discretionary,2020.0,2021,Self-Funded Reinvestor,Deleverager,BOSCHLTD changed from Self-Funded Reinvestor to Deleverager
BOSCHLTD,Consumer Discretionary,2021.0,2022,Deleverager,Self-Funded Reinvestor,BOSCHLTD changed from Deleverager to Self-Funded Reinvestor
BOSCHLTD,Consumer Discretionary,2022.0,2023,Self-Funded Reinvestor,Deleverager,BOSCHLTD changed from Self-Funded Reinvestor to Deleverager
