kpi,P10,P25,P50,P75,P90,Mean,Std
net_profit_margin_pct,4.62,7.24,14.02,20.35,29.24,19.94,45.2
operating_profit_margin_pct,8.0,14.0,22.0,42.0,4102.0,892.64,8421.08
return_on_equity_pct,8.39,11.61,15.8,25.93,47.97,122.63,633.75
debt_to_equity,0.01,0.06,0.44,1.64,6.58,1.79,3.08
interest_coverage,1.61,3.18,11.36,58.09,192.29,126.17,485.93
asset_turnover,0.07,0.2,0.67,1.13,1.65,3.47,15.76
free_cash_flow_cr,-14435.1,-1290.0,1123.5,8348.5,20412.2,918.46,23129.89
earnings_per_share,7.0,16.0,41.5,77.25,183.8,83.43,138.8
dividend_payout_ratio_pct,2.0,14.0,26.0,44.0,64.6,30.2,29.61
cash_from_operations_cr,-7210.9,1863.75,6023.0,15964.0,35254.6,10199.67,34446.48
